Date received,Product,Company
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/24/2019,Debt collection,TRANSWORLD SYSTEMS INC
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
10/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/8/2019,Debt collection,"Diversified Consultants, Inc."
2/8/2019,Vehicle loan or lease,HYUNDAI CAPITAL AMERICA
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/20/2019,Credit card or prepaid card,PENTAGON FEDERAL CREDIT UNION
9/8/2019,"Money transfer, virtual currency, or money service","Paypal Holdings, Inc"
9/24/2019,Debt collection,"HCFS Health Care Financial Services, Inc."
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/20/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/30/2019,"Credit reporting, credit repair services, or other personal consumer reports",CREDIT ACCEPTANCE CORPORATION
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
10/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/15/2019,Mortgage,"ClosingMark Financial Services, LLC"
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/21/2019,Debt collection,SLM CORPORATION
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/6/2020,Debt collection,"National Credit Systems,Inc."
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
10/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/17/2019,Mortgage,Ditech Financial LLC
11/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/18/2019,"Credit reporting, credit repair services, or other personal consumer reports",WELLS FARGO & COMPANY
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Southeast Finance Inc.
7/30/2019,Mortgage,"LoanCare, LLC"
9/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/11/2019,Debt collection,"CMRE Financial Services, Inc."
4/4/2019,Debt collection,"Capital Accounts, LLC"
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/1/2019,Mortgage,WELLS FARGO & COMPANY
3/6/2020,Checking or savings account,PNC Bank N.A.
7/5/2019,Debt collection,"CAINE & WEINER COMPANY, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/27/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
11/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
7/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
9/27/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/8/2019,Student loan,AES/PHEAA
11/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/14/2018,Mortgage,RoundPoint Mortgage Servicing Corporation
4/19/2019,Debt collection,"Accelerated Financial Solutions, LLC"
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/21/2020,Debt collection,Commercial Acceptance Company
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
